class_name,p_mean,p_median,p_p90,p_p99
Normal,0.4562453329563141,0.501160740852356,0.8960914611816406,0.9651055932044983
Pneumonia,0.22760209441184998,0.009542152285575867,0.9553632140159607,0.9978446960449219
Tuberculosis,0.31615257263183594,0.18111135065555573,0.910763680934906,0.9783893823623657
