class_id,class_name,threshold,precision,recall_sensitivity,specificity,f1
0,Normal,0.0,0.3600622810432075,1.0,0.0,0.529479107040641
0,Normal,0.01,0.5504477611940298,0.9967567567567568,0.541970802919708,0.7092307692307692
0,Normal,0.02,0.5633802816901409,0.9945945945945946,0.566301703163017,0.7193119624706803
0,Normal,0.03,0.5729426433915212,0.9935135135135135,0.5833333333333334,0.7267694741004349
0,Normal,0.04,0.5784499054820416,0.9924324324324324,0.593065693430657,0.7308917197452229
0,Normal,0.05,0.5820610687022901,0.9891891891891892,0.6003649635036497,0.7328794553464156
0,Normal,0.06,0.5840255591054313,0.9881081081081081,0.6040145985401459,0.7341365461847389
0,Normal,0.07,0.5862290862290862,0.9848648648648649,0.6088807785888077,0.7349737797498992
0,Normal,0.08,0.5886939571150097,0.9794594594594594,0.614963503649635,0.7353896103896104
0,Normal,0.09,0.5893089960886571,0.9772972972972973,0.6167883211678832,0.7352582350549003
0,Normal,0.1,0.5912073490813649,0.9740540540540541,0.6210462287104623,0.7358105349122092
0,Normal,0.11,0.5921052631578947,0.972972972972973,0.6228710462287105,0.7361963190184049
0,Normal,0.12,0.5941837409120951,0.9718918918918918,0.6265206812652068,0.737489745693191
0,Normal,0.13,0.5948275862068966,0.9697297297297297,0.628345498783455,0.7373612823674476
0,Normal,0.14,0.5957446808510638,0.9686486486486486,0.6301703163017032,0.7377521613832853
0,Normal,0.15,0.5958583834335337,0.9643243243243244,0.6319951338199513,0.7365813377374071
0,Normal,0.16,0.5977165883143049,0.9621621621621622,0.6356447688564477,0.7373653686826843
0,Normal,0.17,0.5985205110961668,0.9621621621621622,0.6368613138686131,0.7379767827529021
0,Normal,0.18,0.600270087778528,0.961081081081081,0.6399026763990268,0.7389858686616791
0,Normal,0.19,0.6021724372029871,0.9589189189189189,0.6435523114355232,0.7397831526271892
0,Normal,0.2,0.601631543167913,0.9567567567567568,0.6435523114355232,0.7387312186978298
0,Normal,0.21,0.6024506466984343,0.9567567567567568,0.6447688564476886,0.7393483709273183
0,Normal,0.22,0.6032944406314344,0.9502702702702702,0.648418491484185,0.7380352644836271
0,Normal,0.23,0.6027586206896551,0.9448648648648649,0.6496350364963503,0.736
0,Normal,0.24,0.6038781163434903,0.9427027027027027,0.6520681265206812,0.7361756015196285
0,Normal,0.25,0.602510460251046,0.9340540540540541,0.6532846715328468,0.7325137770241628
0,Normal,0.26,0.6022487702037947,0.9264864864864865,0.6557177615571776,0.7299829642248722
0,Normal,0.27,0.6032531824611033,0.9221621621621622,0.6587591240875912,0.7293715262932877
0,Normal,0.28,0.6053938963804116,0.9221621621621622,0.6618004866180048,0.7309340188517567
0,Normal,0.29,0.6059957173447538,0.9178378378378378,0.6642335766423357,0.7300085984522785
0,Normal,0.3,0.6051687006460876,0.9113513513513514,0.6654501216545012,0.7273511647972389
0,Normal,0.31,0.6047860768672951,0.9016216216216216,0.6684914841849149,0.7239583333333333
0,Normal,0.32,0.6048034934497817,0.8983783783783784,0.6697080291970803,0.7229230100043498
0,Normal,0.33,0.6068814055636896,0.8962162162162162,0.6733576642335767,0.7237014404190311
0,Normal,0.34,0.6067746686303387,0.8908108108108108,0.6751824817518248,0.7218572054314498
0,Normal,0.35000000000000003,0.6066666666666667,0.8854054054054054,0.677007299270073,0.7199999999999999
0,Normal,0.36,0.6073298429319371,0.8778378378378379,0.6806569343065694,0.717948717948718
0,Normal,0.37,0.6099773242630385,0.8724324324324324,0.6861313868613139,0.7179715302491103
0,Normal,0.38,0.6125095347063311,0.8681081081081081,0.6909975669099757,0.7182468694096602
0,Normal,0.39,0.6139677666922486,0.8648648648648649,0.6940389294403893,0.718132854578097
0,Normal,0.4,0.6127033307513555,0.8551351351351352,0.6958637469586375,0.7138989169675091
0,Normal,0.41000000000000003,0.6134060795011691,0.8508108108108108,0.6982968369829684,0.7128623188405796
0,Normal,0.42,0.6138691883372734,0.8421621621621621,0.7019464720194647,0.7101185050136737
0,Normal,0.43,0.6143426294820717,0.8335135135135135,0.7055961070559611,0.7073394495412844
0,Normal,0.44,0.6139646869983949,0.827027027027027,0.7074209245742092,0.7047443574389682
0,Normal,0.45,0.6155088852988692,0.8237837837837838,0.7104622871046229,0.7045769764216366
0,Normal,0.46,0.616516762060507,0.8151351351351351,0.7147201946472019,0.7020484171322159
0,Normal,0.47000000000000003,0.6171617161716172,0.8086486486486486,0.7177615571776156,0.7000467945718297
0,Normal,0.48,0.6190476190476191,0.8010810810810811,0.7226277372262774,0.6983977379830348
0,Normal,0.49,0.6193712829226848,0.7881081081081082,0.7274939172749392,0.6936251189343483
0,Normal,0.5,0.6169844020797227,0.7697297297297298,0.7311435523114356,0.684944684944685
0,Normal,0.51,0.6213592233009708,0.7610810810810811,0.7390510948905109,0.6841593780369291
0,Normal,0.52,0.6257947320617621,0.7448648648648649,0.7493917274939172,0.6801579466929911
0,Normal,0.53,0.6270718232044199,0.7362162162162162,0.7536496350364964,0.677274987568374
0,Normal,0.54,0.6296992481203008,0.7243243243243244,0.7603406326034063,0.6737053795877325
0,Normal,0.55,0.6308724832214765,0.7113513513513513,0.7658150851581509,0.6686991869918698
0,Normal,0.56,0.6297376093294461,0.7005405405405405,0.7682481751824818,0.6632548618219039
0,Normal,0.5700000000000001,0.6315270935960591,0.692972972972973,0.7725060827250608,0.6608247422680412
0,Normal,0.58,0.6243654822335025,0.6648648648648648,0.7749391727493917,0.6439790575916231
0,Normal,0.59,0.616118769883351,0.6281081081081081,0.7798053527980535,0.6220556745182013
